,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
1650,"796 E MorningsideAtlanta, GA 30324",30324,Fulton,6.0,6.5,4412.0,0.229,2022,7.0,4197,0.0,2,1650000
1651,"3071 Westminster Circle NWAtlanta, GA 30327",30327,Fulton,5.0,6.0,4705.0,0.479,2003,2.0,17393,0.0,2,1650000
1652,"30 Chevaux CourtAtlanta, GA 30342",30342,Fulton,4.0,4.5,4625.0,1.21,1980,,14142,375.0,2,1650000
1653,"1560 BARRINGTON Court NWAtlanta, GA 30327",30327,Fulton,7.0,6.5,6283.0,0.317,1985,,15259,0.0,2,1650000
1654,"560 Morgan Street NEAtlanta, GA 30308",30308,Fulton,,,,0.215,2003,,11893,0.0,2,1674000
1655,"560 Morgan Street NEAtlanta, GA 30308",30308,Fulton,6.0,4.5,,0.215,2003,,11893,0.0,2,1674000
1656,"3344 Peachtree Road NE Unit: 3204Atlanta, GA 30326",30326,Fulton,2.0,2.5,2452.0,,2009,5.0,22253,2453.0,2,1690000
1657,"2724 Rolander NEAtlanta, GA 30305",30305,Fulton,4.0,4.5,,,2023,6.0,0,3456.0,2,1690400
1658,"1301 Peachtree Street NE Unit: 1FAtlanta, GA 30309",30309,Fulton,2.0,2.5,2473.0,0.057,2017,6.0,24570,0.0,2,1695000
1659,"297 Oxford NEAtlanta, GA 30307",30307,DeKalb,5.0,3.5,4186.0,0.3,1910,6.0,9585,0.0,2,1699000
1660,"1099 VistaAtlanta, GA 30324",30324,DeKalb,5.0,5.5,5124.0,0.3,2018,,16283,0.0,2,1700000
1661,"3630 NE Peachtree  Unit: 2204Atlanta, GA 30326",30326,Fulton,3.0,2.5,,0.05,2010,3.0,10551,0.0,2,1700000
1662,"40 12th Street NE Unit: 1004Atlanta, GA 30309",30309,Fulton,3.0,3.5,2352.0,,2021,7.0,0,23904.0,2,1739840
1663,"546 John Wesley Dobbs AvenueAtlanta, GA 30312",30312,Fulton,5.0,3.5,3859.0,0.172,2008,5.0,10507,0.0,2,1749000
1664,"2165 Bonnavit Court NEAtlanta, GA 30345",30345,DeKalb,5.0,6.5,5050.0,0.672,1962,1.0,7614,0.0,2,1750000
1665,"1380 Elva Drive SWAtlanta, GA 30331",30331,Fulton,8.0,9.5,,1.219,2021,,34560,0.0,2,1750000
1666,"1585 S Ponce De Leon Avenue  Unit: M4Atlanta, GA 30307",30307,DeKalb,3.0,3.5,2730.0,0.12,2022,7.0,0,4680.0,2,1750000
1667,"1081 Brixton Lane NEAtlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,15934,0.0,2,1750000
1668,"2300 Meadowvale Drive NEAtlanta, GA 30345",30345,DeKalb,8.0,7.0,7452.0,0.5,2008,2.0,13092,0.0,2,1750000
1669,"2760 Lenox Road  Unit: 3Atlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,10276,3600.0,2,1750000
1670,"2165 Bonnavit Court NEAtlanta, GA 30345",30345,DeKalb,5.0,6.5,5050.0,0.672,1962,1.0,7614,0.0,2,1750000
1671,"1380 Elva Drive SWAtlanta, GA 30331",30331,Fulton,8.0,9.5,,1.219,2021,,34560,0.0,2,1750000
1672,"1585 S Ponce De Leon Avenue  Unit: M4Atlanta, GA 30307",30307,DeKalb,3.0,3.5,2730.0,0.12,2022,7.0,0,4680.0,2,1750000
1673,"1081 Brixton Lane NEAtlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,15934,0.0,2,1750000
1674,"2300 Meadowvale Drive NEAtlanta, GA 30345",30345,DeKalb,8.0,7.0,7452.0,0.5,2008,2.0,13092,0.0,2,1750000
1675,"2760 Lenox Road  Unit: 3Atlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,10276,3600.0,2,1750000
1676,"2711 Southwell NEAtlanta, GA 30305",30305,Fulton,3.0,3.5,,,2023,6.0,1,3456.0,2,1757529
1677,"2713 Southwell NEAtlanta, GA 30305",30305,Fulton,3.0,3.5,,,2023,7.0,0,3456.0,2,1778528
1678,"1185 Empire NEAtlanta, GA 30329",30329,DeKalb,7.0,5.5,,0.4,1995,3.0,12334,300.0,2,1800000
1679,"318 Sandy Springs  Unit: 320Atlanta, GA 30328",30328,Fulton,2.0,2.5,1829.0,,2024,6.0,0,12499.0,2,1875000
1680,"645 NW Northway LaneAtlanta, GA 30342",30342,Fulton,4.0,4.5,4811.0,0.429,2021,,13453,0.0,2,1900000
1681,"40 12th NE Unit: 1804Atlanta, GA 30309",30309,Fulton,3.0,3.5,2352.0,,2021,7.0,0,23904.0,2,1912335
1682,"2703 Southwell Street NEAtlanta, GA 30305",30305,Fulton,4.0,4.5,,,2024,5.0,0,3456.0,2,1950000
1683,"160 Huntington Road NEAtlanta, GA 30309",30309,Fulton,5.0,3.5,3949.0,0.28,1925,7.0,21471,0.0,2,1950000
1684,"4181 Whitewater Creek Road NWAtlanta, GA 30327",30327,Fulton,5.0,4.5,5079.0,1.029,1968,,9418,0.0,2,1950000
1685,"3630 Peachtree Road NE Unit: 2004Atlanta, GA 30326",30326,Fulton,2.0,2.5,2214.0,0.051,2010,7.0,19934,2233.0,2,1950000
1686,"40 12th Street NE Unit: 1406Atlanta, GA 30309",30309,Fulton,4.0,3.5,,,2021,7.0,0,23436.0,2,1995000
1687,"809 Peachtree Battle Avenue NWAtlanta, GA 30327",30327,Fulton,4.0,4.0,5105.0,2.3,1994,6.0,14041,0.0,2,1995000
1688,"1104 Citadel Drive NEAtlanta, GA 30324",30324,DeKalb,4.0,4.5,4141.0,0.4,2010,4.0,18924,0.0,2,1995000
