,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
817,"250 Pharr Road NE Unit: 1606Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.018,2004,5.0,2016,4800.0,2,320000,33.8371871,-84.378968
818,"14 Saint Claire Lane NEAtlanta, GA 30324",30324,Fulton,2.0,2.0,,0.033,1983,2.0,4162,7200.0,2,320000,33.8302987,-84.3538889
819,"5484 DENNYAtlanta, GA 30349",30349,Clayton,4.0,3.0,3000.0,0.023,2003,,2829,0.0,2,320000,33.620038,-84.5327038
820,"3324 Peachtree Road NE Unit: 1904Atlanta, GA 30326",30326,Fulton,1.0,1.0,706.0,0.016,2005,4.0,2157,4500.0,2,320000,33.8458542,-84.36942289999999
821,"1096 Peeples SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1110.0,0.087,1920,1.0,3574,0.0,2,320000,33.725095,-84.4249189
822,"906 Hollywood Road NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,1244.0,0.16,1988,3.0,1415,0.0,2,320000,33.7796461,-84.45551809999999
823,"212 Berean Avenue SE Unit: 2Atlanta, GA 30316",30316,Fulton,2.0,1.0,879.0,0.02,1964,7.0,4359,2100.0,2,320000,33.7487668,-84.3664232
824,"1933 Boulderview Drive SEAtlanta, GA 30316",30316,DeKalb,4.0,3.0,,0.3,1953,,5464,0.0,2,320000,33.7045991,-84.31128369999999
825,"1786 N Umberland Way SEAtlanta, GA 30316",30316,DeKalb,3.0,2.5,,0.022,2005,7.0,313,3120.0,2,320000,33.7232546,-84.314171
826,"563 Center Hill Avenue NWAtlanta, GA 30318",30318,Fulton,4.0,2.0,2015.0,0.516,1965,3.0,1127,0.0,2,320000,33.7706331,-84.4640879
